,Time,Longitude,Latitude,Alert,Depth,Magnitude,Place,Type,Converted_Time_GMT
62,1460737506220,32.7906,130.7543,red,10.0,7.0,"1km E of Kumamoto-shi, Japan",earthquake,2016-04-15
60,1461872004070,-16.0429,167.3786,green,24.0,7.0,"2km N of Norsup, Vanuatu",earthquake,2016-04-28
316,956482043320,-28.307,-62.99,,608.5,7.0,"Santiago Del Estero, Argentina",earthquake,2000-04-23
6,1611231784255,4.9931,127.5145,green,80.0,7.0,"211 km SE of Pondaguitan, Philippines",earthquake,2021-01-21
7,1604058687348,37.8973,26.7838,orange,21.0,7.0,"13 km NNE of Néon Karlovásion, Greece",earthquake,2020-10-30
24,1551430242591,-14.7131,-70.1546,green,267.0,7.0,"23km NNE of Azangaro, Peru",earthquake,2019-03-01
14,1581590024406,45.6161,148.959,yellow,143.0,7.0,"94km ENE of Kuril'sk, Russia",earthquake,2020-02-13
54,1472747877300,-37.3586,179.1461,green,19.0,7.0,"175km NE of Gisborne, New Zealand",earthquake,2016-09-01
310,970678724310,-15.421,166.91,,23.0,7.0,Vanuatu,earthquake,2000-10-04
43,1511131409250,-21.3246,168.6715,green,10.0,7.0,"85km ENE of Tadine, New Caledonia",earthquake,2017-11-19
309,972808628770,-4.766,153.945,,50.0,7.0,"New Ireland region, Papua New Guinea",earthquake,2000-10-29
26,1546054749740,5.8983,126.9209,green,60.21,7.0,"96km ESE of Pondaguitan, Philippines",earthquake,2018-12-29
294,1002898936840,12.686,144.98,,37.0,7.0,Guam region,earthquake,2001-10-12
305,976122666400,39.566,54.799,,30.0,7.0,Turkmenistan,earthquake,2000-12-06
292,1004519420000,-5.912,150.196,,33.0,7.0,"New Britain region, Papua New Guinea",earthquake,2001-10-31
31,1539204500100,-5.7012,151.2046,green,39.0,7.0,"118km E of Kimbe, Papua New Guinea",earthquake,2018-10-10
195,1222701571590,-29.756,-177.683,,36.0,7.0,"Kermadec Islands, New Zealand",earthquake,2008-09-29
274,1047918969856,50.3298,177.5472,,5.0,7.0,"Rat Islands, Aleutian Islands, Alaska",earthquake,2003-03-17
212,1189654528720,-2.13,99.627,,22.0,7.0,"Kepulauan Mentawai region, Indonesia",earthquake,2007-09-13
137,1314207971650,-7.641,-74.525,,147.0,7.0,northern Peru,earthquake,2011-08-24
225,1156045308040,-61.029,-34.371,,13.0,7.0,Scotia Sea,earthquake,2006-08-20
140,1310259430800,38.034,143.264,,23.0,7.0,"off the east coast of Honshu, Japan",earthquake,2011-07-10
149,1294935401540,-20.628,168.471,,9.0,7.0,"Loyalty Islands, New Caledonia",earthquake,2011-01-13
151,1293875818120,-26.803,-63.136,,576.8,7.0,"Santiago Del Estero, Argentina",earthquake,2011-01-01
155,1285780285940,-4.963,133.76,,26.0,7.0,"near the south coast of Papua, Indonesia",earthquake,2010-09-29
156,1283531747770,-43.522,171.83,,12.0,7.0,South Island of New Zealand,earthquake,2010-09-03
159,1280959303620,-5.746,150.765,,44.0,7.0,"New Britain region, Papua New Guinea",earthquake,2010-08-04
230,1140646747800,-21.324,33.583,,11.0,7.0,Mozambique,earthquake,2006-02-22
164,1276658187550,-2.174,136.543,,18.0,7.0,"near the north coast of Papua, Indonesia",earthquake,2010-06-16
170,1268319327510,-34.326,-71.799,,18.0,7.0,"Libertador General Bernardo O'Higgins, Chile",earthquake,2010-03-11
173,1267216286970,25.93,128.425,,25.0,7.0,"Ryukyu Islands, Japan",earthquake,2010-02-26
174,1263333190060,18.443,-72.571,,13.0,7.0,Haiti region,earthquake,2010-01-12
182,1251878101050,-7.782,107.297,,46.0,7.0,"Java, Indonesia",earthquake,2009-09-02
188,1234994025160,-27.424,-176.33,,25.0,7.0,Kermadec Islands region,earthquake,2009-02-18
198,1214806663020,-58.227,-22.099,,8.0,7.0,South Sandwich Islands region,earthquake,2008-06-30
136,1315090540920,-20.671,169.716,,185.1,7.0,Vanuatu,earthquake,2011-09-03
234,1132004331420,38.107,144.896,,11.0,7.0,"off the east coast of Honshu, Japan",earthquake,2005-11-14
272,1053941073400,38.849,141.568,,68.0,7.0,"near the east coast of Honshu, Japan",earthquake,2003-05-26
259,1076015102840,-3.615,135.538,,16.6,7.0,"Papua, Indonesia",earthquake,2004-02-05
271,1053977007940,2.354,128.855,,31.0,7.0,"Halmahera, Indonesia",earthquake,2003-05-26
72,1442445521850,-31.5622,-71.4262,green,28.41,7.0,"25km WNW of Illapel, Chile",earthquake,2015-09-16
74,1438033281710,-2.6286,138.5277,green,48.0,7.0,"228km W of Abepura, Indonesia",earthquake,2015-07-27
75,1437186453820,-10.4012,165.1409,green,11.0,7.0,"83km WNW of Lata, Solomon Islands",earthquake,2015-07-18
76,1434545492790,-35.3639,-17.1605,green,10.0,7.0,Southern Mid-Atlantic Ridge,earthquake,2015-06-17
83,1425044705370,-7.2968,122.5348,green,552.06,7.0,"130km N of Nebe, Indonesia",earthquake,2015-02-27
263,1067562388280,37.812,142.619,,10.0,7.0,"off the east coast of Honshu, Japan",earthquake,2003-10-31
196,1216435168700,37.552,142.214,,22.0,7.0,"off the east coast of Honshu, Japan",earthquake,2008-07-19
125,1334214948500,28.696,-113.104,,13.0,7.0,"Baja California, Mexico",earthquake,2012-04-12
88,1412820871440,-32.1082,-110.8112,green,16.54,7.0,Southern East Pacific Rise,earthquake,2014-10-09
253,1097357213690,11.422,-86.665,,35.0,7.0,near the coast of Nicaragua,earthquake,2004-10-09
97,1385360853300,-53.9451,-55.0033,green,11.78,7.0,Falkland Islands region,earthquake,2013-11-25
248,1101666734130,43.006,145.119,,39.0,7.0,"Hokkaido, Japan region",earthquake,2004-11-28
103,1377879902300,51.537,-175.2297,green,29.0,7.0,"101km SW of Atka, Alaska",earthquake,2013-08-30
110,1365223355860,-3.517,138.476,green,66.0,7.0,"240km E of Enarotali, Indonesia",earthquake,2013-04-06
112,1360115654610,-10.499,165.588,green,8.8,7.0,"27km NNW of Lata, Solomon Islands",earthquake,2013-02-06
0,1616231384002,38.4754,141.6328,yellow,43.0,7.0,"29 km ENE of Ishinomaki, Japan",earthquake,2021-03-20
